Table,Representation,k,Expected results,Retrieval,Evalution,COS Similary,Num documents,Mean precision and recall
artists,linearized_column_wise,5,"Index([0, 1, 2, 3, 4], dtype='int64')","[27, 26, 2, 31, 28]","precision: 0.2
recall: 0.2","[[{'corpus_id': 27, 'score': 0.0830203965306282}, {'corpus_id': 26, 'score': 0.06611116230487823}, {'corpus_id': 2, 'score': 0.06512527167797089}, {'corpus_id': 31, 'score': 0.06130466237664223}, {'corpus_id': 28, 'score': 0.05891185626387596}]]",50,
playlists,linearized_column_wise,5,"Index([5, 6, 7, 8, 9], dtype='int64')","[6, 8, 7, 5, 9]","precision: 1.0
recall: 1.0","[[{'corpus_id': 6, 'score': 0.26532283425331116}, {'corpus_id': 8, 'score': 0.2624668776988983}, {'corpus_id': 7, 'score': 0.23830120265483856}, {'corpus_id': 5, 'score': 0.206699937582016}, {'corpus_id': 9, 'score': 0.17586545646190643}]]",50,
chip_model,linearized_column_wise,5,"Index([10, 11, 12, 13, 14], dtype='int64')","[11, 12, 13, 10, 14]","precision: 1.0
recall: 1.0","[[{'corpus_id': 11, 'score': 0.396796315908432}, {'corpus_id': 12, 'score': 0.3733547031879425}, {'corpus_id': 13, 'score': 0.3652274012565613}, {'corpus_id': 10, 'score': 0.3462090790271759}, {'corpus_id': 14, 'score': 0.3449544608592987}]]",50,
Video_Games,linearized_column_wise,5,"Index([15, 16, 17, 18, 19], dtype='int64')","[17, 18, 15, 19, 16]","precision: 1.0
recall: 1.0","[[{'corpus_id': 17, 'score': 0.3879157304763794}, {'corpus_id': 18, 'score': 0.3375418484210968}, {'corpus_id': 15, 'score': 0.30197638273239136}, {'corpus_id': 19, 'score': 0.2978847622871399}, {'corpus_id': 16, 'score': 0.2930384576320648}]]",50,
employee,linearized_column_wise,5,"Index([20, 21, 22, 23, 24], dtype='int64')","[22, 23, 20, 24, 21]","precision: 1.0
recall: 1.0","[[{'corpus_id': 22, 'score': 0.26768258213996887}, {'corpus_id': 23, 'score': 0.2634708285331726}, {'corpus_id': 20, 'score': 0.2503492832183838}, {'corpus_id': 24, 'score': 0.14782026410102844}, {'corpus_id': 21, 'score': 0.14546674489974976}]]",50,
Addresses,linearized_column_wise,5,"Index([25, 26, 27, 28, 29], dtype='int64')","[25, 28, 27, 29, 26]","precision: 1.0
recall: 1.0","[[{'corpus_id': 25, 'score': 0.1943160742521286}, {'corpus_id': 28, 'score': 0.17501771450042725}, {'corpus_id': 27, 'score': 0.13886955380439758}, {'corpus_id': 29, 'score': 0.12460201233625412}, {'corpus_id': 26, 'score': 0.12152739614248276}]]",50,
city,linearized_column_wise,5,"Index([30, 31, 32, 33, 34], dtype='int64')","[32, 34, 33, 30, 31]","precision: 1.0
recall: 1.0","[[{'corpus_id': 32, 'score': 0.4728739261627197}, {'corpus_id': 34, 'score': 0.4294426143169403}, {'corpus_id': 33, 'score': 0.41655871272087097}, {'corpus_id': 30, 'score': 0.40586963295936584}, {'corpus_id': 31, 'score': 0.4044243097305298}]]",50,
shop,linearized_column_wise,5,"Index([35, 36, 37, 38, 39], dtype='int64')","[35, 38, 36, 37, 39]","precision: 1.0
recall: 1.0","[[{'corpus_id': 35, 'score': 0.2385188788175583}, {'corpus_id': 38, 'score': 0.2310115396976471}, {'corpus_id': 36, 'score': 0.2211262285709381}, {'corpus_id': 37, 'score': 0.17695201933383942}, {'corpus_id': 39, 'score': 0.15962035953998566}]]",50,
stadium,linearized_column_wise,5,"Index([40, 41, 42, 43, 44], dtype='int64')","[40, 43, 41, 44, 42]","precision: 1.0
recall: 1.0","[[{'corpus_id': 40, 'score': 0.2855012118816376}, {'corpus_id': 43, 'score': 0.24620753526687622}, {'corpus_id': 41, 'score': 0.245507150888443}, {'corpus_id': 44, 'score': 0.20935945212841034}, {'corpus_id': 42, 'score': 0.1852760910987854}]]",50,
singer,linearized_column_wise,5,"Index([45, 46, 47, 48, 49], dtype='int64')","[45, 48, 47, 49, 46]","precision: 1.0
recall: 1.0","[[{'corpus_id': 45, 'score': 0.43480074405670166}, {'corpus_id': 48, 'score': 0.3512493073940277}, {'corpus_id': 47, 'score': 0.34939971566200256}, {'corpus_id': 49, 'score': 0.3386174440383911}, {'corpus_id': 46, 'score': 0.33286479115486145}]]",50,
artists,linearized_row_wise,5,"Index([0, 1, 2, 3, 4], dtype='int64')","[4, 1, 0, 2, 3]","precision: 1.0
recall: 1.0","[[{'corpus_id': 4, 'score': 0.18610133230686188}, {'corpus_id': 1, 'score': 0.16665911674499512}, {'corpus_id': 0, 'score': 0.1526997834444046}, {'corpus_id': 2, 'score': 0.13220292329788208}, {'corpus_id': 3, 'score': 0.08452427387237549}]]",50,
playlists,linearized_row_wise,5,"Index([5, 6, 7, 8, 9], dtype='int64')","[8, 6, 7, 5, 9]","precision: 1.0
recall: 1.0","[[{'corpus_id': 8, 'score': 0.2639627456665039}, {'corpus_id': 6, 'score': 0.2449408322572708}, {'corpus_id': 7, 'score': 0.22830569744110107}, {'corpus_id': 5, 'score': 0.19796784222126007}, {'corpus_id': 9, 'score': 0.1542983055114746}]]",50,
chip_model,linearized_row_wise,5,"Index([10, 11, 12, 13, 14], dtype='int64')","[11, 12, 13, 14, 10]","precision: 1.0
recall: 1.0","[[{'corpus_id': 11, 'score': 0.38194796442985535}, {'corpus_id': 12, 'score': 0.3699852228164673}, {'corpus_id': 13, 'score': 0.35755980014801025}, {'corpus_id': 14, 'score': 0.3539675772190094}, {'corpus_id': 10, 'score': 0.33691850304603577}]]",50,
Video_Games,linearized_row_wise,5,"Index([15, 16, 17, 18, 19], dtype='int64')","[17, 18, 15, 19, 16]","precision: 1.0
recall: 1.0","[[{'corpus_id': 17, 'score': 0.3812868297100067}, {'corpus_id': 18, 'score': 0.32195305824279785}, {'corpus_id': 15, 'score': 0.2952296733856201}, {'corpus_id': 19, 'score': 0.29053112864494324}, {'corpus_id': 16, 'score': 0.28560417890548706}]]",50,
employee,linearized_row_wise,5,"Index([20, 21, 22, 23, 24], dtype='int64')","[22, 23, 20, 24, 21]","precision: 1.0
recall: 1.0","[[{'corpus_id': 22, 'score': 0.27611058950424194}, {'corpus_id': 23, 'score': 0.26690682768821716}, {'corpus_id': 20, 'score': 0.2445889264345169}, {'corpus_id': 24, 'score': 0.15345856547355652}, {'corpus_id': 21, 'score': 0.1509229689836502}]]",50,
Addresses,linearized_row_wise,5,"Index([25, 26, 27, 28, 29], dtype='int64')","[25, 28, 27, 29, 26]","precision: 1.0
recall: 1.0","[[{'corpus_id': 25, 'score': 0.2033315896987915}, {'corpus_id': 28, 'score': 0.17758673429489136}, {'corpus_id': 27, 'score': 0.1450660675764084}, {'corpus_id': 29, 'score': 0.11840662360191345}, {'corpus_id': 26, 'score': 0.113526351749897}]]",50,
city,linearized_row_wise,5,"Index([30, 31, 32, 33, 34], dtype='int64')","[32, 34, 33, 31, 30]","precision: 1.0
recall: 1.0","[[{'corpus_id': 32, 'score': 0.4692021608352661}, {'corpus_id': 34, 'score': 0.4602194130420685}, {'corpus_id': 33, 'score': 0.44931766390800476}, {'corpus_id': 31, 'score': 0.4332263469696045}, {'corpus_id': 30, 'score': 0.3943788707256317}]]",50,
shop,linearized_row_wise,5,"Index([35, 36, 37, 38, 39], dtype='int64')","[38, 35, 36, 37, 39]","precision: 1.0
recall: 1.0","[[{'corpus_id': 38, 'score': 0.24039286375045776}, {'corpus_id': 35, 'score': 0.23860453069210052}, {'corpus_id': 36, 'score': 0.23174303770065308}, {'corpus_id': 37, 'score': 0.18622808158397675}, {'corpus_id': 39, 'score': 0.16537746787071228}]]",50,
stadium,linearized_row_wise,5,"Index([40, 41, 42, 43, 44], dtype='int64')","[40, 43, 41, 44, 42]","precision: 1.0
recall: 1.0","[[{'corpus_id': 40, 'score': 0.3021998405456543}, {'corpus_id': 43, 'score': 0.25895193219184875}, {'corpus_id': 41, 'score': 0.25279995799064636}, {'corpus_id': 44, 'score': 0.20313160121440887}, {'corpus_id': 42, 'score': 0.1900411993265152}]]",50,
singer,linearized_row_wise,5,"Index([45, 46, 47, 48, 49], dtype='int64')","[45, 47, 49, 46, 48]","precision: 1.0
recall: 1.0","[[{'corpus_id': 45, 'score': 0.4305700361728668}, {'corpus_id': 47, 'score': 0.34010353684425354}, {'corpus_id': 49, 'score': 0.32793670892715454}, {'corpus_id': 46, 'score': 0.3248468041419983}, {'corpus_id': 48, 'score': 0.3215099573135376}]]",50,
artists,template_based,5,"Index([0, 1, 2, 3, 4], dtype='int64')","[4, 0, 2, 1, 3]","precision: 1.0
recall: 1.0","[[{'corpus_id': 4, 'score': 0.20609906315803528}, {'corpus_id': 0, 'score': 0.17815059423446655}, {'corpus_id': 2, 'score': 0.1476684808731079}, {'corpus_id': 1, 'score': 0.14480124413967133}, {'corpus_id': 3, 'score': 0.10103453695774078}]]",50,
playlists,template_based,5,"Index([5, 6, 7, 8, 9], dtype='int64')","[8, 6, 7, 5, 9]","precision: 1.0
recall: 1.0","[[{'corpus_id': 8, 'score': 0.3032543361186981}, {'corpus_id': 6, 'score': 0.27926933765411377}, {'corpus_id': 7, 'score': 0.2518443465232849}, {'corpus_id': 5, 'score': 0.22425486147403717}, {'corpus_id': 9, 'score': 0.2018505334854126}]]",50,
chip_model,template_based,5,"Index([10, 11, 12, 13, 14], dtype='int64')","[11, 12, 13, 14, 10]","precision: 1.0
recall: 1.0","[[{'corpus_id': 11, 'score': 0.3594357669353485}, {'corpus_id': 12, 'score': 0.35586100816726685}, {'corpus_id': 13, 'score': 0.3424006998538971}, {'corpus_id': 14, 'score': 0.33731016516685486}, {'corpus_id': 10, 'score': 0.32016628980636597}]]",50,
Video_Games,template_based,5,"Index([15, 16, 17, 18, 19], dtype='int64')","[17, 18, 16, 19, 15]","precision: 1.0
recall: 1.0","[[{'corpus_id': 17, 'score': 0.380064457654953}, {'corpus_id': 18, 'score': 0.3558785021305084}, {'corpus_id': 16, 'score': 0.31914860010147095}, {'corpus_id': 19, 'score': 0.30470192432403564}, {'corpus_id': 15, 'score': 0.3025885224342346}]]",50,
employee,template_based,5,"Index([20, 21, 22, 23, 24], dtype='int64')","[22, 23, 20, 24, 21]","precision: 1.0
recall: 1.0","[[{'corpus_id': 22, 'score': 0.27770528197288513}, {'corpus_id': 23, 'score': 0.27699995040893555}, {'corpus_id': 20, 'score': 0.2688819169998169}, {'corpus_id': 24, 'score': 0.17143553495407104}, {'corpus_id': 21, 'score': 0.15784478187561035}]]",50,
Addresses,template_based,5,"Index([25, 26, 27, 28, 29], dtype='int64')","[28, 25, 27, 26, 29]","precision: 1.0
recall: 1.0","[[{'corpus_id': 28, 'score': 0.2029682844877243}, {'corpus_id': 25, 'score': 0.19661669433116913}, {'corpus_id': 27, 'score': 0.1614600419998169}, {'corpus_id': 26, 'score': 0.13715209066867828}, {'corpus_id': 29, 'score': 0.13479581475257874}]]",50,
city,template_based,5,"Index([30, 31, 32, 33, 34], dtype='int64')","[32, 34, 33, 31, 30]","precision: 1.0
recall: 1.0","[[{'corpus_id': 32, 'score': 0.49513107538223267}, {'corpus_id': 34, 'score': 0.4906611144542694}, {'corpus_id': 33, 'score': 0.47626566886901855}, {'corpus_id': 31, 'score': 0.4630257785320282}, {'corpus_id': 30, 'score': 0.4077970087528229}]]",50,
shop,template_based,5,"Index([35, 36, 37, 38, 39], dtype='int64')","[36, 35, 38, 37, 39]","precision: 1.0
recall: 1.0","[[{'corpus_id': 36, 'score': 0.2308838814496994}, {'corpus_id': 35, 'score': 0.22433631122112274}, {'corpus_id': 38, 'score': 0.22087642550468445}, {'corpus_id': 37, 'score': 0.1758510172367096}, {'corpus_id': 39, 'score': 0.15738606452941895}]]",50,
stadium,template_based,5,"Index([40, 41, 42, 43, 44], dtype='int64')","[40, 43, 41, 44, 42]","precision: 1.0
recall: 1.0","[[{'corpus_id': 40, 'score': 0.29625797271728516}, {'corpus_id': 43, 'score': 0.2553074359893799}, {'corpus_id': 41, 'score': 0.24094174802303314}, {'corpus_id': 44, 'score': 0.20932836830615997}, {'corpus_id': 42, 'score': 0.19744032621383667}]]",50,
singer,template_based,5,"Index([45, 46, 47, 48, 49], dtype='int64')","[45, 47, 49, 48, 46]","precision: 1.0
recall: 1.0","[[{'corpus_id': 45, 'score': 0.42046403884887695}, {'corpus_id': 47, 'score': 0.34727638959884644}, {'corpus_id': 49, 'score': 0.33874210715293884}, {'corpus_id': 48, 'score': 0.3385632634162903}, {'corpus_id': 46, 'score': 0.3276844322681427}]]",50,
artists,markdown,5,"Index([0, 1, 2, 3, 4], dtype='int64')","[1, 4, 0, 2, 3]","precision: 1.0
recall: 1.0","[[{'corpus_id': 1, 'score': 0.1937352418899536}, {'corpus_id': 4, 'score': 0.1743399053812027}, {'corpus_id': 0, 'score': 0.16810618340969086}, {'corpus_id': 2, 'score': 0.12043727189302444}, {'corpus_id': 3, 'score': 0.08179723471403122}]]",50,
playlists,markdown,5,"Index([5, 6, 7, 8, 9], dtype='int64')","[8, 6, 7, 9, 5]","precision: 1.0
recall: 1.0","[[{'corpus_id': 8, 'score': 0.2804144322872162}, {'corpus_id': 6, 'score': 0.241334930062294}, {'corpus_id': 7, 'score': 0.20505288243293762}, {'corpus_id': 9, 'score': 0.18240249156951904}, {'corpus_id': 5, 'score': 0.17602984607219696}]]",50,
chip_model,markdown,5,"Index([10, 11, 12, 13, 14], dtype='int64')","[11, 12, 13, 10, 14]","precision: 1.0
recall: 1.0","[[{'corpus_id': 11, 'score': 0.40508487820625305}, {'corpus_id': 12, 'score': 0.38732245564460754}, {'corpus_id': 13, 'score': 0.37703371047973633}, {'corpus_id': 10, 'score': 0.3600057363510132}, {'corpus_id': 14, 'score': 0.35728734731674194}]]",50,
Video_Games,markdown,5,"Index([15, 16, 17, 18, 19], dtype='int64')","[17, 18, 15, 16, 19]","precision: 1.0
recall: 1.0","[[{'corpus_id': 17, 'score': 0.4049225449562073}, {'corpus_id': 18, 'score': 0.3514426350593567}, {'corpus_id': 15, 'score': 0.31852906942367554}, {'corpus_id': 16, 'score': 0.31368836760520935}, {'corpus_id': 19, 'score': 0.30870321393013}]]",50,
employee,markdown,5,"Index([20, 21, 22, 23, 24], dtype='int64')","[22, 23, 20, 24, 21]","precision: 1.0
recall: 1.0","[[{'corpus_id': 22, 'score': 0.2770671844482422}, {'corpus_id': 23, 'score': 0.26560866832733154}, {'corpus_id': 20, 'score': 0.244683176279068}, {'corpus_id': 24, 'score': 0.1518218070268631}, {'corpus_id': 21, 'score': 0.14727257192134857}]]",50,
Addresses,markdown,5,"Index([25, 26, 27, 28, 29], dtype='int64')","[25, 28, 27, 29, 26]","precision: 1.0
recall: 1.0","[[{'corpus_id': 25, 'score': 0.21143758296966553}, {'corpus_id': 28, 'score': 0.1918310523033142}, {'corpus_id': 27, 'score': 0.1502763330936432}, {'corpus_id': 29, 'score': 0.1358809918165207}, {'corpus_id': 26, 'score': 0.11748185008764267}]]",50,
city,markdown,5,"Index([30, 31, 32, 33, 34], dtype='int64')","[32, 34, 33, 31, 30]","precision: 1.0
recall: 1.0","[[{'corpus_id': 32, 'score': 0.4617982506752014}, {'corpus_id': 34, 'score': 0.4345279335975647}, {'corpus_id': 33, 'score': 0.42709118127822876}, {'corpus_id': 31, 'score': 0.41786354780197144}, {'corpus_id': 30, 'score': 0.3883722424507141}]]",50,
shop,markdown,5,"Index([35, 36, 37, 38, 39], dtype='int64')","[35, 38, 36, 37, 39]","precision: 1.0
recall: 1.0","[[{'corpus_id': 35, 'score': 0.2392256110906601}, {'corpus_id': 38, 'score': 0.22053061425685883}, {'corpus_id': 36, 'score': 0.20672214031219482}, {'corpus_id': 37, 'score': 0.1784786880016327}, {'corpus_id': 39, 'score': 0.16543957591056824}]]",50,
stadium,markdown,5,"Index([40, 41, 42, 43, 44], dtype='int64')","[40, 43, 41, 44, 42]","precision: 1.0
recall: 1.0","[[{'corpus_id': 40, 'score': 0.29450854659080505}, {'corpus_id': 43, 'score': 0.25555089116096497}, {'corpus_id': 41, 'score': 0.2514738440513611}, {'corpus_id': 44, 'score': 0.20052292943000793}, {'corpus_id': 42, 'score': 0.1893518716096878}]]",50,
singer,markdown,5,"Index([45, 46, 47, 48, 49], dtype='int64')","[45, 48, 49, 46, 47]","precision: 1.0
recall: 1.0","[[{'corpus_id': 45, 'score': 0.45716533064842224}, {'corpus_id': 48, 'score': 0.37944042682647705}, {'corpus_id': 49, 'score': 0.3793909549713135}, {'corpus_id': 46, 'score': 0.3688831925392151}, {'corpus_id': 47, 'score': 0.3660419285297394}]]",50,
artists,html_like,5,"Index([0, 1, 2, 3, 4], dtype='int64')","[4, 0, 2, 1, 6]","precision: 0.8
recall: 0.8","[[{'corpus_id': 4, 'score': 0.14491191506385803}, {'corpus_id': 0, 'score': 0.13747715950012207}, {'corpus_id': 2, 'score': 0.08034652471542358}, {'corpus_id': 1, 'score': 0.07364442944526672}, {'corpus_id': 6, 'score': 0.06792283058166504}]]",50,
playlists,html_like,5,"Index([5, 6, 7, 8, 9], dtype='int64')","[8, 6, 7, 5, 9]","precision: 1.0
recall: 1.0","[[{'corpus_id': 8, 'score': 0.23447129130363464}, {'corpus_id': 6, 'score': 0.21759842336177826}, {'corpus_id': 7, 'score': 0.17810732126235962}, {'corpus_id': 5, 'score': 0.1648291051387787}, {'corpus_id': 9, 'score': 0.1364317536354065}]]",50,
chip_model,html_like,5,"Index([10, 11, 12, 13, 14], dtype='int64')","[12, 11, 10, 14, 13]","precision: 1.0
recall: 1.0","[[{'corpus_id': 12, 'score': 0.32226938009262085}, {'corpus_id': 11, 'score': 0.31766897439956665}, {'corpus_id': 10, 'score': 0.3128455579280853}, {'corpus_id': 14, 'score': 0.31158754229545593}, {'corpus_id': 13, 'score': 0.30948328971862793}]]",50,
Video_Games,html_like,5,"Index([15, 16, 17, 18, 19], dtype='int64')","[17, 18, 15, 19, 16]","precision: 1.0
recall: 1.0","[[{'corpus_id': 17, 'score': 0.3742794692516327}, {'corpus_id': 18, 'score': 0.32014375925064087}, {'corpus_id': 15, 'score': 0.3031310439109802}, {'corpus_id': 19, 'score': 0.2966344654560089}, {'corpus_id': 16, 'score': 0.2811617851257324}]]",50,
employee,html_like,5,"Index([20, 21, 22, 23, 24], dtype='int64')","[22, 23, 20, 21, 24]","precision: 1.0
recall: 1.0","[[{'corpus_id': 22, 'score': 0.2497490644454956}, {'corpus_id': 23, 'score': 0.2487608939409256}, {'corpus_id': 20, 'score': 0.24178075790405273}, {'corpus_id': 21, 'score': 0.1522892564535141}, {'corpus_id': 24, 'score': 0.15060999989509583}]]",50,
Addresses,html_like,5,"Index([25, 26, 27, 28, 29], dtype='int64')","[28, 25, 27, 29, 26]","precision: 1.0
recall: 1.0","[[{'corpus_id': 28, 'score': 0.25990357995033264}, {'corpus_id': 25, 'score': 0.24194839596748352}, {'corpus_id': 27, 'score': 0.18714161217212677}, {'corpus_id': 29, 'score': 0.1760273277759552}, {'corpus_id': 26, 'score': 0.1687142699956894}]]",50,
city,html_like,5,"Index([30, 31, 32, 33, 34], dtype='int64')","[32, 34, 33, 31, 30]","precision: 1.0
recall: 1.0","[[{'corpus_id': 32, 'score': 0.4908887445926666}, {'corpus_id': 34, 'score': 0.47326886653900146}, {'corpus_id': 33, 'score': 0.46050775051116943}, {'corpus_id': 31, 'score': 0.45717787742614746}, {'corpus_id': 30, 'score': 0.41679245233535767}]]",50,
shop,html_like,5,"Index([35, 36, 37, 38, 39], dtype='int64')","[35, 38, 36, 37, 39]","precision: 1.0
recall: 1.0","[[{'corpus_id': 35, 'score': 0.24205555021762848}, {'corpus_id': 38, 'score': 0.23020580410957336}, {'corpus_id': 36, 'score': 0.21648143231868744}, {'corpus_id': 37, 'score': 0.17754268646240234}, {'corpus_id': 39, 'score': 0.1529029905796051}]]",50,
stadium,html_like,5,"Index([40, 41, 42, 43, 44], dtype='int64')","[43, 40, 41, 44, 42]","precision: 1.0
recall: 1.0","[[{'corpus_id': 43, 'score': 0.2708195745944977}, {'corpus_id': 40, 'score': 0.26926395297050476}, {'corpus_id': 41, 'score': 0.24973788857460022}, {'corpus_id': 44, 'score': 0.20910042524337769}, {'corpus_id': 42, 'score': 0.2089584916830063}]]",50,
singer,html_like,5,"Index([45, 46, 47, 48, 49], dtype='int64')","[45, 49, 47, 48, 46]","precision: 1.0
recall: 1.0","[[{'corpus_id': 45, 'score': 0.3929390013217926}, {'corpus_id': 49, 'score': 0.3378525972366333}, {'corpus_id': 47, 'score': 0.32820919156074524}, {'corpus_id': 48, 'score': 0.3244493007659912}, {'corpus_id': 46, 'score': 0.3112439811229706}]]",50,
artists,column_header_value_triples,5,"Index([0, 1, 2, 3, 4], dtype='int64')","[4, 31, 27, 20, 42]","precision: 0.2
recall: 0.2","[[{'corpus_id': 4, 'score': 0.090373694896698}, {'corpus_id': 31, 'score': 0.08135843276977539}, {'corpus_id': 27, 'score': 0.07991037517786026}, {'corpus_id': 20, 'score': 0.07174648344516754}, {'corpus_id': 42, 'score': 0.06401936709880829}]]",50,
playlists,column_header_value_triples,5,"Index([5, 6, 7, 8, 9], dtype='int64')","[8, 6, 7, 5, 1]","precision: 0.8
recall: 0.8","[[{'corpus_id': 8, 'score': 0.2538432776927948}, {'corpus_id': 6, 'score': 0.2233096808195114}, {'corpus_id': 7, 'score': 0.19993099570274353}, {'corpus_id': 5, 'score': 0.16747862100601196}, {'corpus_id': 1, 'score': 0.15081526339054108}]]",50,
chip_model,column_header_value_triples,5,"Index([10, 11, 12, 13, 14], dtype='int64')","[11, 12, 13, 14, 10]","precision: 1.0
recall: 1.0","[[{'corpus_id': 11, 'score': 0.3225243389606476}, {'corpus_id': 12, 'score': 0.3192746043205261}, {'corpus_id': 13, 'score': 0.3144781291484833}, {'corpus_id': 14, 'score': 0.31327712535858154}, {'corpus_id': 10, 'score': 0.2962276041507721}]]",50,
Video_Games,column_header_value_triples,5,"Index([15, 16, 17, 18, 19], dtype='int64')","[17, 18, 15, 19, 16]","precision: 1.0
recall: 1.0","[[{'corpus_id': 17, 'score': 0.3766525983810425}, {'corpus_id': 18, 'score': 0.31359580159187317}, {'corpus_id': 15, 'score': 0.29187077283859253}, {'corpus_id': 19, 'score': 0.2889500856399536}, {'corpus_id': 16, 'score': 0.27714574337005615}]]",50,
employee,column_header_value_triples,5,"Index([20, 21, 22, 23, 24], dtype='int64')","[22, 20, 23, 24, 21]","precision: 1.0
recall: 1.0","[[{'corpus_id': 22, 'score': 0.2670862376689911}, {'corpus_id': 20, 'score': 0.2637206017971039}, {'corpus_id': 23, 'score': 0.25561919808387756}, {'corpus_id': 24, 'score': 0.15974998474121094}, {'corpus_id': 21, 'score': 0.15502849221229553}]]",50,
Addresses,column_header_value_triples,5,"Index([25, 26, 27, 28, 29], dtype='int64')","[27, 29, 26, 25, 4]","precision: 0.8
recall: 0.8","[[{'corpus_id': 27, 'score': 0.0934496596455574}, {'corpus_id': 29, 'score': 0.08918656408786774}, {'corpus_id': 26, 'score': 0.07227302342653275}, {'corpus_id': 25, 'score': 0.05395787954330444}, {'corpus_id': 4, 'score': 0.030739419162273407}]]",50,
city,column_header_value_triples,5,"Index([30, 31, 32, 33, 34], dtype='int64')","[32, 34, 31, 33, 30]","precision: 1.0
recall: 1.0","[[{'corpus_id': 32, 'score': 0.44082966446876526}, {'corpus_id': 34, 'score': 0.4045880138874054}, {'corpus_id': 31, 'score': 0.39634284377098083}, {'corpus_id': 33, 'score': 0.39491748809814453}, {'corpus_id': 30, 'score': 0.3694266676902771}]]",50,
